uf,acidentes,mortos,feridos_graves
MG,26598,2221,8079
SC,23773,1130,5998
PR,22079,1739,5832
RJ,16672,908,3332
RS,15073,976,3366
SP,14022,682,2392
BA,11355,1712,3856
GO,9553,878,2665
PE,8980,895,3106
MT,7050,778,1887
ES,6916,493,2424
MS,5168,533,1584
PB,4960,395,1624
RO,4263,298,1224
RN,4261,311,1319
CE,4236,470,1446
PI,3908,457,1539
MA,3385,742,1419
DF,2955,129,561
PA,2703,606,1096
TO,1931,275,701
AL,1927,215,724
SE,1645,144,588
AC,736,62,241
RR,508,80,191
AP,483,43,162
AM,388,56,119
